Column1;Column2;Column3
1996;-2833992;-28.33992
2161;-3011654;-30.11654
2139;-3030069;-30.30069
2327;-3071981;-30.71981
2355;-3131328;-31.31328
2423;-3136993;-31.36993
2509;-3151364;-31.51364
2588;-3116891;-31.16891
2629;-3138645;-31.38645
2571;-3149966;-31.49966
2570;-3086897;-30.86897
2494;-3129645;-31.29645
2627;-3140664;-31.40664
2609;-3092838;-30.92838
2595;-3142029;-31.42029
2589;-3125257;-31.25257
2533;-3199293;-31.99293
2574;-3192775;-31.92775
2457;-3211177;-32.11177
2502;-3195689;-31.95689
2458;-3207598;-32.07598
2439;-3169470;-31.6947
2481;-3187152;-31.87152
2519;-3210225;-32.10225
2556;-3129376;-31.29376
2588;-3247719;-32.47719
2596;-3220273;-32.20273
2511;-3235774;-32.35774
2492;-3219896;-32.19896
2644;-3268267;-32.68267
2662;-3256953;-32.56953
2602;-3259229;-32.59229
2564;-3256641;-32.56641
2553;-3250304;-32.50304
2569;-3219465;-32.19465
2567;-3234012;-32.34012
2620;-3216800;-32.168
2647;-3249165;-32.49165
2561;-3264309;-32.64309
2505;-3301013;-33.01013
2542;-3309116;-33.09116
2500;-3311624;-33.11624
2499;-3283839;-32.83839
2532;-3314562;-33.14562
2598;-3294258;-32.94258
2568;-3284305;-32.84305
2581;-3274754;-32.74754
2567;-3337863;-33.37863
2593;-3302072;-33.02072
2591;-3287376;-32.87376
2627;-3298145;-32.98145
2634;-3299093;-32.99093
2710;-3322623;-33.22623
2698;-3274981;-32.74981
2618;-3247742;-32.47742
2617;-3263232;-32.63232
2655;-3255331;-32.55331
2742;-3301786;-33.01786
2636;-3288034;-32.88034
2604;-3283138;-32.83138
2584;-3319887;-33.19887
2597;-3310697;-33.10697
2636;-3307230;-33.0723
2672;-3298359;-32.98359
2520;-3309676;-33.09676
2592;-3296599;-32.96599
2604;-3290430;-32.9043
2664;-3283820;-32.8382
2644;-3269081;-32.69081
2580;-3314096;-33.14096
2551;-3256063;-32.56063
2507;-3321561;-33.21561
2535;-3291944;-32.91944
